,osmid,lanes,name,highway,maxspeed,oneway,length,geometry,ref,u,v,key
0,158627310,2,Solana Street,unclassified,30,False,43.606,"LINESTRING (120.974169 14.5937001, 120.9744618 14.593429)",,21638762,163734761,0
1,161306392,4,Andres Soriano Avenue,secondary,40,False,65.367,"LINESTRING (120.974169 14.5937001, 120.9741903 14.5942876)",,21638762,703530319,0
2,34363668,4,A. Soriano Avenue,secondary,40,False,161.689,"LINESTRING (120.974169 14.5937001, 120.9740455 14.5935874, 120.9730636 14.5927152)",,21638762,3388766875,0
3,161414175,2,,unclassified,40,False,8.291,"LINESTRING (120.9749577 14.5937083, 120.9749608 14.5937828)",,21638763,1055759279,0
4,331769752,3,Muralla Street,unclassified,40,True,17.676,"LINESTRING (120.9749577 14.5937083, 120.974794 14.5936951)",,21638763,997427805,0
5,161306395,4,Magallanes Drive,tertiary,40,True,82.402,"LINESTRING (120.974956 14.5942974, 120.9741903 14.5942876)",,21638765,703530319,0
6,161414175,2,,unclassified,40,False,57.223,"LINESTRING (120.974956 14.5942974, 120.9749608 14.5937828)",,21638765,1055759279,0
7,708734832,2,Lawton Road,tertiary,40,True,17.42,"LINESTRING (120.9779276 14.5946573, 120.9780879 14.5946792)",,21638771,33444448,0
8,791645316,2,Quintin Paredes Street,secondary,40,True,27.688,"LINESTRING (120.9779276 14.5946573, 120.9780425 14.5944345)",,21638771,5799534236,0
9,791645317,6,Magallanes Drive,tertiary,40,False,39.971,"LINESTRING (120.9779276 14.5946573, 120.9775632 14.5945876)",,21638771,5799534217,0
10,89432768,2,Victoria Street,unclassified,40,False,81.626,"LINESTRING (120.9764785 14.5879107, 120.9758872 14.5874509)",,21638777,4211986439,0
11,89432768,2,Victoria Street,unclassified,40,False,84.511,"LINESTRING (120.9764785 14.5879107, 120.9771028 14.5883718)",,21638777,163715781,0
12,163844203,2,General Luna Street,tertiary,40,False,124.338,"LINESTRING (120.9764785 14.5879107, 120.9757101 14.5887458)",,21638777,163724862,0
13,794302981,2,General Luna Street,tertiary,40,False,136.0,"LINESTRING (120.9764785 14.5879107, 120.9770192 14.587292, 120.9772969 14.5869787)",,21638777,299399375,0
14,4304670,4,Mel Lopez Boulevard,trunk,60,True,106.655,"LINESTRING (120.970856 14.5912119, 120.9707348 14.5912751, 120.9705964 14.5913794, 120.9704932 14.591487, 120.9702012 14.5919108)",120,26030584,6616025154,0
